publisher_name,year,quarter,total_points,publishers_rank
Scholastic,2021,1,49.0,1
"Little, Brown",2021,1,39.0,2
HarperCollins,2021,1,27.0,3
Delacorte,2021,1,25.0,4
Random House Audio,2021,1,23.0,5
"Little, Brown",2021,2,46.0,1
Scholastic,2021,2,37.0,2
HarperCollins,2021,2,34.0,3
Random House,2021,2,32.0,4
Grand Central,2021,2,25.0,5
Scholastic,2021,3,39.0,1
"Little, Brown",2021,3,28.0,2
Harper,2021,3,28.0,2
Simon & Schuster,2021,3,22.0,4
Delacorte,2021,3,19.0,5
Scholastic,2021,4,42.0,1
"Little, Brown",2021,4,30.0,2
Harper,2021,4,29.0,3
Delacorte,2021,4,28.0,4
Viking,2021,4,27.0,5
Grand Central,2021,4,27.0,5
Scholastic,2022,1,48.0,1
Random House,2022,1,28.0,2
Harper,2022,1,26.0,3
Viking,2022,1,24.0,4
Grand Central,2022,1,24.0,4
Scholastic,2022,2,50.0,1
"Little, Brown",2022,2,37.0,2
Simon & Schuster,2022,2,32.0,3
Putnam,2022,2,30.0,4
Random House,2022,2,29.0,5
Scholastic,2022,3,38.0,1
Random House,2022,3,31.0,2
Grand Central,2022,3,30.0,3
Simon & Schuster,2022,3,29.0,4
"Little, Brown",2022,3,28.0,5
Delacorte,2022,3,28.0,5
Scholastic,2022,4,51.0,1
Simon & Schuster,2022,4,32.0,2
"Little, Brown",2022,4,30.0,3
Grand Central,2022,4,30.0,3
Simon & Schuster Audio,2022,4,22.0,5
HarperCollins,2022,4,22.0,5
Scholastic,2023,1,58.0,1
"Little, Brown",2023,1,25.0,2
Grand Central,2023,1,25.0,2
Random House,2023,1,23.0,4
Delacorte,2023,1,22.0,5
Scholastic,2023,2,52.0,1
Grand Central,2023,2,38.0,2
Random House Audio,2023,2,26.0,3
Simon & Schuster,2023,2,25.0,4
"Little, Brown",2023,2,23.0,5
Scholastic,2023,3,56.0,1
"Little, Brown",2023,3,28.0,2
Grand Central,2023,3,23.0,3
Delacorte,2023,3,21.0,4
Random House Audio,2023,3,18.0,5
Vintage,2023,3,18.0,5
Scholastic,2023,4,70.0,1
Simon & Schuster Audio,2023,4,29.0,2
"Little, Brown",2023,4,26.0,3
Simon & Schuster,2023,4,26.0,3
Viking,2023,4,26.0,3
